key,en,test
Age,Age,test
Gender,Gender,test
Height,Height,test
Weight,Weight,test
Muscle,Muscle,test
Proportions,Proportions,test
African,African,test
Asian,Asian,test
Caucasian,Caucasian,test
Bodyshapes-elvs-fem-adrenal,Female Adrenal,test
Bodyshapes-elvs-fem-apple,Female Apple,test
Bodyshapes-elvs-fem-diamond,Female Diamond,test
Bodyshapes-elvs-fem-full-hourglass,Female Hourglass,test
Bodyshapes-elvs-fem-invert-triangle,Female Inverted Triangle,test
Bodyshapes-elvs-fem-lean-column,Female Lean Column,test
Bodyshapes-elvs-fem-liver,Female Liver,test
Bodyshapes-elvs-fem-neat-hourglass,Female Neat Hourglass,test
Bodyshapes-elvs-fem-ovary,Female Ovary,test
Bodyshapes-elvs-fem-rectangle,Female Rectangle,test
Bodyshapes-elvs-fem-thyroid,Female Thyroid,test
Bodyshapes-elvs-fem-triangle,Female Triangle,test
Bodyshapes-elvs-man-adrenal,Male Adrenal,test
Bodyshapes-elvs-man-apple,Male Apple,test
Bodyshapes-elvs-man-gonadal,Male Gonadal,test
Bodyshapes-elvs-man-invert-triangle,Male Inverted Triangle,test
Bodyshapes-elvs-man-lean-column,Male Lean Column,test
Bodyshapes-elvs-man-liver,Male Liver,test
Bodyshapes-elvs-man-rectangle,Male Rectangle,test
Bodyshapes-elvs-man-thyroid,Male Thyroid,test
Bodyshapes-elvs-man-trapezoid,Male Trapezoid,test
Bodyshapes-elvs-man-triangle,Male Triangle,test
Asym-brown-1-l,Asymetric Brown 1 Left,test
Asym-brown-1-r,Asymetric Brown 1 Right,test
Asym-brown-2-l,Asymetric Brown 2 Left,test
Asym-brown-2-r,Asymetric Brown 2 Right,test
Asym-top-1-l,Asymetric Top 1 Left,test
Asym-top-1-r,Asymetric Top 1 Right,test
Asym-top-2-l,Asymetric Top 2 Left,test
Asym-top-2-r,Asymetric Top 2 Right,test
Forehead-nubian-decr,Forehead Nubian Decrement,test
Forehead-nubian-incr,Forehead Nubian Increment,test
Forehead-scale-vert-decr,Forehead Scale Decrement,test
